"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"MVP","3612","Nikola","Jokic","Nikola Jokic","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=7","/betting/nba/player/nikola-jokic-odds-3612","200","0.0",2,"22.3","40.00",NA,NA,NA,"225","0.0",2.25,"22.6","45.00",NA,NA,NA,"200","0.0",2,"27.5","40.00",NA,NA,NA,"250","0.0",2.5,"23.6","50.00",NA,NA,NA,"210","0.0",2.1,"25.3","42.00",NA,NA,NA,"240","0.0",2.4,"24.3","48.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","250","0.0",2.5,NA,"50.00",2025-08-16
"MVP","4387","Shai","Gilgeous-Alexander","Shai Gilgeous-Alexander","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/shai-gilgeous-alexander-odds-4387","275","0.0",2.75,"17.8","55.00",NA,NA,NA,"250","0.0",2.5,"21.0","50.00",NA,NA,NA,"250","0.0",2.5,"23.6","50.00",NA,NA,NA,"200","0.0",2,"27.5","40.00",NA,NA,NA,"210","0.0",2.1,"25.3","42.00",NA,NA,NA,"280","0.0",2.8,"21.8","56.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","280","0.0",2.8,NA,"56.00",2025-08-16
"MVP","4396","Luka","Doncic","Luka Doncic","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=7","/betting/nba/player/luka-doncic-odds-4396","500","0.0",5,"11.1","100.00",NA,NA,NA,"375","0.0",3.75,"15.5","75.00",NA,NA,NA,"650","0.0",6.5,"11.0","130.00",NA,NA,NA,"500","0.0",5,"13.7","100.00",NA,NA,NA,"550","0.0",5.5,"12.1","110.00",NA,NA,NA,"450","0.0",4.5,"15.0","90.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","650","0.0",6.5,NA,"130.00",2025-08-16
"MVP","3456","Giannis","Antetokounmpo","Giannis Antetokounmpo","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=7","/betting/nba/player/giannis-antetokounmpo-odds-3456","1000","0.0",10,"6.1","200.00",NA,NA,NA,"1000","0.0",10,"6.7","200.00",NA,NA,NA,"900","0.0",9,"8.2","180.00",NA,NA,NA,"1000","0.0",10,"7.5","200.00",NA,NA,NA,"900","0.0",9,"7.9","180.00",NA,NA,NA,"1000","0.0",10,"7.5","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1000","0.0",10,NA,"200.00",2025-08-16
"MVP","5809","Victor","Wembanyama","Victor Wembanyama","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/victor-wembanyama-odds-5809","1500","0.0",15,"4.2","300.00",NA,NA,NA,"1200","0.0",12,"5.7","240.00",NA,NA,NA,"1800","0.0",18,"4.3","360.00",NA,NA,NA,"1700","0.0",17,"4.6","340.00",NA,NA,NA,"1600","0.0",16,"4.6","320.00",NA,NA,NA,"1600","0.0",16,"4.9","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1800","0.0",18,NA,"360.00",2025-08-16
"MVP","5110","Anthony","Edwards","Anthony Edwards","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/anthony-edwards-odds-5110","1400","0.0",14,"4.5","280.00",NA,NA,NA,"2000","0.0",20,"3.5","400.00",NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"1600","0.0",16,"4.6","320.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2000","0.0",20,NA,"400.00",2025-08-16
"MVP","5336","Cade","Cunningham","Cade Cunningham","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/cade-cunningham-odds-5336","3500","0.0",35,"1.9","700.00",NA,NA,NA,"3000","0.0",30,"2.4","600.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2025-08-16
"MVP","4405","Jalen","Brunson","Jalen Brunson","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=7","/betting/nba/player/jalen-brunson-odds-4405","2800","0.0",28,"2.3","560.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","6000","0.0",60,NA,"1,200.00",2025-08-16
"MVP","5700","Paolo","Banchero","Paolo Banchero","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=7","/betting/nba/player/paolo-banchero-odds-5700","3500","0.0",35,"1.9","700.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6600","0.0",66,"1.2","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","8000","0.0",80,NA,"1,600.00",2025-08-16
"MVP","2811","Kevin","Durant","Kevin Durant","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/kevin-durant-odds-2811","5500","0.0",55,"1.2","1,100.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","8000","0.0",80,NA,"1,600.00",2025-08-16
"MVP","4166","Donovan","Mitchell","Donovan Mitchell","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=7","/betting/nba/player/donovan-mitchell-odds-4166","2800","0.0",28,"2.3","560.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-08-16
"MVP","4369","Trae","Young","Trae Young","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/trae-young-odds-4369","8000","0.0",80,"0.8","1,600.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"6600","0.0",66,"1.2","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2025-08-16
"MVP","3572","Joel","Embiid","Joel Embiid","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/joel-embiid-odds-3572","3500","0.0",35,"1.9","700.00",NA,NA,NA,"8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"7000","0.0",70,"1.2","1,400.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"12500","0.0",125,"0.7","2,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","12500","0.0",125,NA,"2,500.00",2025-08-16
"MVP","3014","Stephen","Curry","Stephen Curry","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=7","/betting/nba/player/stephen-curry-odds-3014","4500","0.0",45,"1.5","900.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"6500","0.0",65,"1.2","1,300.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"6600","0.0",66,"1.2","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","15000","0.0",150,NA,"3,000.00",2025-08-16
"MVP","4761","Ja","Morant","Ja Morant","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7","/betting/nba/player/ja-morant-odds-4761","6600","0.0",66,"1.0","1,320.00",NA,NA,NA,"12500","0.0",125,"0.6","2,500.00",NA,NA,NA,"12000","0.0",120,"0.7","2,400.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","15000","0.0",150,NA,"3,000.00",2025-08-16
"MVP","3711","Devin","Booker","Devin Booker","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=7","/betting/nba/player/devin-booker-odds-3711","8000","0.0",80,"0.8","1,600.00",NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"18000","0.0",180,"0.5","3,600.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","18000","0.0",180,NA,"3,600.00",2025-08-16
"MVP","3894","Jaylen","Brown","Jaylen Brown","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=7","/betting/nba/player/jaylen-brown-odds-3894","8000","0.0",80,"0.8","1,600.00",NA,NA,NA,"12500","0.0",125,"0.6","2,500.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","20000","0.0",200,NA,"4,000.00",2025-08-16
"MVP","3297","Anthony","Davis","Anthony Davis","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=7","/betting/nba/player/anthony-davis-odds-3297","5500","0.0",55,"1.2","1,100.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","20000","0.0",200,NA,"4,000.00",2025-08-16
